name,species,height,weight,hp,attack,defence,sp_attack,sp_defence,speed,type1,type2,ability1,ability2,hidden_ability,pokedex,genus,capture_rate,color,shape,is_baby,is_legendary,is_mythical,generation,egg_group1,egg_group2,is_mega
persian,persian,10,320,65,70,60,65,65,115,normal,,limber,technician,unnerve,53,,90,yellow,,False,False,False,1,ground,,False
persian-alola,persian,11,330,65,60,60,75,65,115,dark,,fur-coat,technician,rattled,53,,90,yellow,,False,False,False,1,ground,,False
psyduck,psyduck,8,196,50,52,48,65,50,55,water,,damp,cloud-nine,swift-swim,54,,190,yellow,,False,False,False,1,water1,ground,False
golduck,golduck,17,766,80,82,78,95,80,85,water,,damp,cloud-nine,swift-swim,55,,75,blue,,False,False,False,1,water1,ground,False
mankey,mankey,5,280,40,80,35,35,45,70,fighting,,vital-spirit,anger-point,defiant,56,,190,brown,,False,False,False,1,ground,,False
primeape,primeape,10,320,65,105,60,60,70,95,fighting,,vital-spirit,anger-point,defiant,57,,75,brown,,False,False,False,1,ground,,False
growlithe,growlithe,7,190,55,70,45,70,50,60,fire,,intimidate,flash-fire,justified,58,,190,brown,,False,False,False,1,ground,,False
growlithe-hisui,growlithe,8,227,60,75,45,65,50,55,fire,rock,intimidate,flash-fire,rock-head,58,,190,brown,,False,False,False,1,ground,,False
arcanine,arcanine,19,1550,90,110,80,100,80,95,fire,,intimidate,flash-fire,justified,59,,75,brown,,False,False,False,1,ground,,False
arcanine-hisui,arcanine,20,1680,95,115,80,95,80,90,fire,rock,intimidate,flash-fire,rock-head,59,,75,brown,,False,False,False,1,ground,,False
poliwag,poliwag,6,124,40,50,40,40,40,90,water,,water-absorb,damp,swift-swim,60,,255,blue,,False,False,False,1,water1,,False
poliwhirl,poliwhirl,10,200,65,65,65,50,50,90,water,,water-absorb,damp,swift-swim,61,,120,blue,,False,False,False,1,water1,,False
poliwrath,poliwrath,13,540,90,95,95,70,90,70,water,fighting,water-absorb,damp,swift-swim,62,,45,blue,,False,False,False,1,water1,,False
abra,abra,9,195,25,20,15,105,55,90,psychic,,synchronize,inner-focus,magic-guard,63,,200,brown,,False,False,False,1,humanshape,,False
kadabra,kadabra,13,565,40,35,30,120,70,105,psychic,,synchronize,inner-focus,magic-guard,64,,100,brown,,False,False,False,1,humanshape,,False
alakazam,alakazam,15,480,55,50,45,135,95,120,psychic,,synchronize,inner-focus,magic-guard,65,,50,brown,,False,False,False,1,humanshape,,False
alakazam-mega,alakazam,12,480,55,50,65,175,105,150,psychic,,trace,,,65,,50,brown,,False,False,False,1,humanshape,,True
machop,machop,8,195,70,80,50,35,35,35,fighting,,guts,no-guard,steadfast,66,,180,gray,,False,False,False,1,humanshape,,False
machoke,machoke,15,705,80,100,70,50,60,45,fighting,,guts,no-guard,steadfast,67,,90,gray,,False,False,False,1,humanshape,,False
machamp,machamp,16,1300,90,130,80,65,85,55,fighting,,guts,no-guard,steadfast,68,,45,gray,,False,False,False,1,humanshape,,False
machamp-gmax,machamp,250,10000,90,130,80,65,85,55,fighting,,guts,no-guard,steadfast,68,,45,gray,,False,False,False,1,humanshape,,False
bellsprout,bellsprout,7,40,50,75,35,70,30,40,grass,poison,chlorophyll,gluttony,,69,,255,green,,False,False,False,1,plant,,False
weepinbell,weepinbell,10,64,65,90,50,85,45,55,grass,poison,chlorophyll,gluttony,,70,,120,green,,False,False,False,1,plant,,False
victreebel,victreebel,17,155,80,105,65,100,70,70,grass,poison,chlorophyll,gluttony,,71,,45,green,,False,False,False,1,plant,,False
tentacool,tentacool,9,455,40,40,35,50,100,70,water,poison,clear-body,liquid-ooze,rain-dish,72,,190,blue,,False,False,False,1,water3,,False
tentacruel,tentacruel,16,550,80,70,65,80,120,100,water,poison,clear-body,liquid-ooze,rain-dish,73,,60,blue,,False,False,False,1,water3,,False
geodude,geodude,4,200,40,80,100,30,30,20,rock,ground,rock-head,sturdy,sand-veil,74,,255,brown,,False,False,False,1,mineral,,False
geodude-alola,geodude,4,203,40,80,100,30,30,20,rock,electric,magnet-pull,sturdy,galvanize,74,,255,brown,,False,False,False,1,mineral,,False
graveler,graveler,10,1050,55,95,115,45,45,35,rock,ground,rock-head,sturdy,sand-veil,75,,120,brown,,False,False,False,1,mineral,,False
graveler-alola,graveler,10,1100,55,95,115,45,45,35,rock,electric,magnet-pull,sturdy,galvanize,75,,120,brown,,False,False,False,1,mineral,,False
golem,golem,14,3000,80,120,130,55,65,45,rock,ground,rock-head,sturdy,sand-veil,76,,45,brown,,False,False,False,1,mineral,,False
golem-alola,golem,17,3160,80,120,130,55,65,45,rock,electric,magnet-pull,sturdy,galvanize,76,,45,brown,,False,False,False,1,mineral,,False
ponyta,ponyta,10,300,50,85,55,65,65,90,fire,,run-away,flash-fire,flame-body,77,,190,yellow,,False,False,False,1,ground,,False
ponyta-galar,ponyta,8,240,50,85,55,65,65,90,psychic,,run-away,pastel-veil,anticipation,77,,190,yellow,,False,False,False,1,ground,,False
rapidash,rapidash,17,950,65,100,70,80,80,105,fire,,run-away,flash-fire,flame-body,78,,60,yellow,,False,False,False,1,ground,,False
rapidash-galar,rapidash,17,800,65,100,70,80,80,105,psychic,fairy,run-away,pastel-veil,anticipation,78,,60,yellow,,False,False,False,1,ground,,False
slowpoke,slowpoke,12,360,90,65,65,40,40,15,water,psychic,oblivious,own-tempo,regenerator,79,,190,pink,,False,False,False,1,monster,water1,False
slowpoke-galar,slowpoke,12,360,90,65,65,40,40,15,psychic,,gluttony,own-tempo,regenerator,79,,190,pink,,False,False,False,1,monster,water1,False
slowbro,slowbro,16,785,95,75,110,100,80,30,water,psychic,oblivious,own-tempo,regenerator,80,,75,pink,,False,False,False,1,monster,water1,False
slowbro-galar,slowbro,16,705,95,100,95,100,70,30,poison,psychic,quick-draw,own-tempo,regenerator,80,,75,pink,,False,False,False,1,monster,water1,False
slowbro-mega,slowbro,20,1200,95,75,180,130,80,30,water,psychic,shell-armor,,,80,,75,pink,,False,False,False,1,monster,water1,True
magnemite,magnemite,3,60,25,35,70,95,55,45,electric,steel,magnet-pull,sturdy,analytic,81,,190,gray,,False,False,False,1,mineral,,False
magneton,magneton,10,600,50,60,95,120,70,70,electric,steel,magnet-pull,sturdy,analytic,82,,60,gray,,False,False,False,1,mineral,,False
farfetchd,farfetchd,8,150,52,90,55,58,62,60,normal,flying,keen-eye,inner-focus,defiant,83,,45,brown,,False,False,False,1,flying,ground,False
farfetchd-galar,farfetchd,8,420,52,95,55,58,62,55,fighting,,steadfast,scrappy,,83,,45,brown,,False,False,False,1,flying,ground,False
doduo,doduo,14,392,35,85,45,35,35,75,normal,flying,run-away,early-bird,tangled-feet,84,,190,brown,,False,False,False,1,flying,,False
dodrio,dodrio,18,852,60,110,70,60,60,110,normal,flying,run-away,early-bird,tangled-feet,85,,45,brown,,False,False,False,1,flying,,False
seel,seel,11,900,65,45,55,45,70,45,water,,thick-fat,hydration,ice-body,86,,190,white,,False,False,False,1,water1,ground,False
dewgong,dewgong,17,1200,90,70,80,70,95,70,water,ice,thick-fat,hydration,ice-body,87,,75,white,,False,False,False,1,water1,ground,False
grimer,grimer,9,300,80,80,50,40,50,25,poison,,stench,sticky-hold,poison-touch,88,,190,purple,,False,False,False,1,indeterminate,,False
grimer-alola,grimer,7,420,80,80,50,40,50,25,poison,dark,poison-touch,gluttony,power-of-alchemy,88,,190,purple,,False,False,False,1,indeterminate,,False
muk,muk,12,300,105,105,75,65,100,50,poison,,stench,sticky-hold,poison-touch,89,,75,purple,,False,False,False,1,indeterminate,,False
muk-alola,muk,10,520,105,105,75,65,100,50,poison,dark,poison-touch,gluttony,power-of-alchemy,89,,75,purple,,False,False,False,1,indeterminate,,False
shellder,shellder,3,40,30,65,100,45,25,40,water,,shell-armor,skill-link,overcoat,90,,190,purple,,False,False,False,1,water3,,False
cloyster,cloyster,15,1325,50,95,180,85,45,70,water,ice,shell-armor,skill-link,overcoat,91,,60,purple,,False,False,False,1,water3,,False
gastly,gastly,13,1,30,35,30,100,35,80,ghost,poison,levitate,,,92,,190,purple,,False,False,False,1,indeterminate,,False
haunter,haunter,16,1,45,50,45,115,55,95,ghost,poison,levitate,,,93,,90,purple,,False,False,False,1,indeterminate,,False
gengar,gengar,15,405,60,65,60,130,75,110,ghost,poison,cursed-body,,,94,,45,purple,,False,False,False,1,indeterminate,,False
gengar-gmax,gengar,200,10000,60,65,60,130,75,110,ghost,poison,cursed-body,,,94,,45,purple,,False,False,False,1,indeterminate,,False
gengar-mega,gengar,14,405,60,65,80,170,95,130,ghost,poison,shadow-tag,,,94,,45,purple,,False,False,False,1,indeterminate,,True
onix,onix,88,2100,35,45,160,30,45,70,rock,ground,rock-head,sturdy,weak-armor,95,,45,gray,,False,False,False,1,mineral,,False
drowzee,drowzee,10,324,60,48,45,43,90,42,psychic,,insomnia,forewarn,inner-focus,96,,190,yellow,,False,False,False,1,humanshape,,False
hypno,hypno,16,756,85,73,70,73,115,67,psychic,,insomnia,forewarn,inner-focus,97,,75,yellow,,False,False,False,1,humanshape,,False
krabby,krabby,4,65,30,105,90,25,25,50,water,,hyper-cutter,shell-armor,sheer-force,98,,225,red,,False,False,False,1,water3,,False
kingler,kingler,13,600,55,130,115,50,50,75,water,,hyper-cutter,shell-armor,sheer-force,99,,60,red,,False,False,False,1,water3,,False
kingler-gmax,kingler,190,10000,55,130,115,50,50,75,water,,hyper-cutter,shell-armor,sheer-force,99,,60,red,,False,False,False,1,water3,,False
voltorb,voltorb,5,104,40,30,50,55,55,100,electric,,soundproof,static,aftermath,100,,190,red,,False,False,False,1,mineral,,False
voltorb-hisui,voltorb,5,130,40,30,50,55,55,100,electric,grass,soundproof,static,aftermath,100,,190,red,,False,False,False,1,mineral,,False
electrode,electrode,12,666,60,50,70,80,80,150,electric,,soundproof,static,aftermath,101,,60,red,,False,False,False,1,mineral,,False
electrode-hisui,electrode,12,710,60,50,70,80,80,150,electric,grass,soundproof,static,aftermath,101,,60,red,,False,False,False,1,mineral,,False
exeggcute,exeggcute,4,25,60,40,80,60,45,40,grass,psychic,chlorophyll,harvest,,102,,90,pink,,False,False,False,1,plant,,False
exeggutor,exeggutor,20,1200,95,95,85,125,75,55,grass,psychic,chlorophyll,harvest,,103,,45,yellow,,False,False,False,1,plant,,False
exeggutor-alola,exeggutor,109,4156,95,105,85,125,75,45,grass,dragon,frisk,harvest,,103,,45,yellow,,False,False,False,1,plant,,False
cubone,cubone,4,65,50,50,95,40,50,35,ground,,rock-head,lightning-rod,battle-armor,104,,190,brown,,False,False,False,1,monster,,False
marowak,marowak,10,450,60,80,110,50,80,45,ground,,rock-head,lightning-rod,battle-armor,105,,75,brown,,False,False,False,1,monster,,False
marowak-alola,marowak,10,340,60,80,110,50,80,45,fire,ghost,cursed-body,lightning-rod,rock-head,105,,75,brown,,False,False,False,1,monster,,False
marowak-totem,marowak,17,980,60,80,110,50,80,45,fire,ghost,cursed-body,lightning-rod,rock-head,105,,75,brown,,False,False,False,1,monster,,False
hitmonlee,hitmonlee,15,498,50,120,53,35,110,87,fighting,,limber,reckless,unburden,106,,45,brown,,False,False,False,1,humanshape,,False
hitmonchan,hitmonchan,14,502,50,105,79,35,110,76,fighting,,keen-eye,iron-fist,inner-focus,107,,45,brown,,False,False,False,1,humanshape,,False
lickitung,lickitung,12,655,90,55,75,60,75,30,normal,,own-tempo,oblivious,cloud-nine,108,,45,pink,,False,False,False,1,monster,,False
koffing,koffing,6,10,40,65,95,60,45,35,poison,,levitate,neutralizing-gas,stench,109,,190,purple,,False,False,False,1,indeterminate,,False
weezing,weezing,12,95,65,90,120,85,70,60,poison,,levitate,neutralizing-gas,stench,110,,60,purple,,False,False,False,1,indeterminate,,False
weezing-galar,weezing,30,160,65,90,120,85,70,60,poison,fairy,levitate,neutralizing-gas,misty-surge,110,,60,purple,,False,False,False,1,indeterminate,,False
rhyhorn,rhyhorn,10,1150,80,85,95,30,30,25,ground,rock,lightning-rod,rock-head,reckless,111,,120,gray,,False,False,False,1,monster,ground,False
rhydon,rhydon,19,1200,105,130,120,45,45,40,ground,rock,lightning-rod,rock-head,reckless,112,,60,gray,,False,False,False,1,monster,ground,False
chansey,chansey,11,346,250,5,5,35,105,50,normal,,natural-cure,serene-grace,healer,113,,30,pink,,False,False,False,1,fairy,,False
tangela,tangela,10,350,65,55,115,100,40,60,grass,,chlorophyll,leaf-guard,regenerator,114,,45,blue,,False,False,False,1,plant,,False
kangaskhan,kangaskhan,22,800,105,95,80,40,80,90,normal,,early-bird,scrappy,inner-focus,115,,45,brown,,False,False,False,1,monster,,False
kangaskhan-mega,kangaskhan,22,1000,105,125,100,60,100,100,normal,,parental-bond,,,115,,45,brown,,False,False,False,1,monster,,True
horsea,horsea,4,80,30,40,70,70,25,60,water,,swift-swim,sniper,damp,116,,225,blue,,False,False,False,1,water1,dragon,False
seadra,seadra,12,250,55,65,95,95,45,85,water,,poison-point,sniper,damp,117,,75,blue,,False,False,False,1,water1,dragon,False
goldeen,goldeen,6,150,45,67,60,35,50,63,water,,swift-swim,water-veil,lightning-rod,118,,225,red,,False,False,False,1,water2,,False
seaking,seaking,13,390,80,92,65,65,80,68,water,,swift-swim,water-veil,lightning-rod,119,,60,red,,False,False,False,1,water2,,False
staryu,staryu,8,345,30,45,55,70,55,85,water,,illuminate,natural-cure,analytic,120,,225,brown,,False,False,False,1,water3,,False
starmie,starmie,11,800,60,75,85,100,85,115,water,psychic,illuminate,natural-cure,analytic,121,,60,purple,,False,False,False,1,water3,,False
mr-mime,mr-mime,13,545,40,45,65,100,120,90,psychic,fairy,soundproof,filter,technician,122,,45,pink,,False,False,False,1,humanshape,,False
mr-mime-galar,mr-mime,14,568,50,65,65,90,90,100,ice,psychic,vital-spirit,screen-cleaner,ice-body,122,,45,pink,,False,False,False,1,humanshape,,False
scyther,scyther,15,560,70,110,80,55,80,105,bug,flying,swarm,technician,steadfast,123,,45,green,,False,False,False,1,bug,,False
jynx,jynx,14,406,65,50,35,115,95,95,ice,psychic,oblivious,forewarn,dry-skin,124,,45,red,,False,False,False,1,humanshape,,False
electabuzz,electabuzz,11,300,65,83,57,95,85,105,electric,,static,vital-spirit,,125,,45,yellow,,False,False,False,1,humanshape,,False
magmar,magmar,13,445,65,95,57,100,85,93,fire,,flame-body,vital-spirit,,126,,45,red,,False,False,False,1,humanshape,,False
pinsir,pinsir,15,550,65,125,100,55,70,85,bug,,hyper-cutter,mold-breaker,moxie,127,,45,brown,,False,False,False,1,bug,,False
pinsir-mega,pinsir,17,590,65,155,120,65,90,105,bug,flying,aerilate,,,127,,45,brown,,False,False,False,1,bug,,True
tauros,tauros,14,884,75,100,95,40,70,110,normal,,intimidate,anger-point,sheer-force,128,,45,brown,,False,False,False,1,ground,,False
tauros-paldea-aqua-breed,tauros,14,1100,75,110,105,30,70,100,fighting,water,intimidate,anger-point,cud-chew,128,,45,brown,,False,False,False,1,ground,,False
